Wikipedia link,Office,State,Start office date,End office date
https://en.wikipedia.org/wiki/Duke_Qing_of_Jin,Duke of Jin,Jin,-525,-512
https://en.wikipedia.org/wiki/Duke_Ding_of_Jin,Duke of Jin,Jin,-511,-475
https://en.wikipedia.org/wiki/Duke_Chu_of_Jin,Duke of Jin,Jin,-474,-452
https://en.wikipedia.org/wiki/Duke_Jing_of_Jin_(Jiao),Duke of Jin,Jin,-451,-434
https://en.wikipedia.org/wiki/Duke_You_of_Jin,Duke of Jin,Jin,-433,-416
https://en.wikipedia.org/wiki/Duke_Lie_of_Jin,Duke of Jin,Jin,-415,-389
https://en.wikipedia.org/wiki/Duke_Huan_of_Jin,Duke of Jin,Jin,-388,-369
https://en.wikipedia.org/wiki/Bo_Qin,Duke of Lu,Lu,-1042,-997
https://en.wikipedia.org/wiki/Duke_Kao_of_Lu,Duke of Lu,Lu,-998,-995
https://en.wikipedia.org/wiki/Duke_Yang_of_Lu,Duke of Lu,Lu,-994,-989
https://en.wikipedia.org/wiki/Duke_You_of_Lu,Duke of Lu,Lu,-988,-975
https://en.wikipedia.org/wiki/Duke_Wei_of_Lu,Duke of Lu,Lu,-974,-925
https://en.wikipedia.org/wiki/Duke_Li_of_Lu,Duke of Lu,Lu,-924,-888
https://en.wikipedia.org/wiki/Duke_Xian_of_Lu,Duke of Lu,Lu,-887,-856
https://en.wikipedia.org/wiki/Duke_Shen_of_Lu,Duke of Lu,Lu,-855,-826
https://en.wikipedia.org/wiki/Duke_Wu_of_Lu,Duke of Lu,Lu,-825,-816
https://en.wikipedia.org/wiki/Duke_Yi_of_Lu,Duke of Lu,Lu,-815,-807
https://en.wikipedia.org/wiki/Boyu_(Lu),Duke of Lu,Lu,-806,-796
https://en.wikipedia.org/wiki/Duke_Xiao_of_Lu,Duke of Lu,Lu,-795,-769
https://en.wikipedia.org/wiki/Duke_Hui_of_Lu,Duke of Lu,Lu,-768,-723
https://en.wikipedia.org/wiki/Duke_Yin_of_Lu,Duke of Lu,Lu,-722,-712
https://en.wikipedia.org/wiki/Duke_Huan_of_Lu,Duke of Lu,Lu,-711,-694
https://en.wikipedia.org/wiki/Duke_Zhuang_of_Lu,Duke of Lu,Lu,-693,-662
https://en.wikipedia.org/wiki/Ziban,Duke of Lu,Lu,-662,-662
https://en.wikipedia.org/wiki/Duke_Min_of_Lu,Duke of Lu,Lu,-661,-660
https://en.wikipedia.org/wiki/Duke_Xi_of_Lu,Duke of Lu,Lu,-659,-627
https://en.wikipedia.org/wiki/Duke_Wen_of_Lu_(Spring_and_Autumn_period),Duke of Lu,Lu,-626,-609
